,Film,Year,IMDB,Metascore,IMDB votes
0,Гладиатор,2000,8.5,67,1261479
1,Помни,2000,8.4,80,1062831
2,Реквием по мечте,2000,8.3,68,724096
3,Люди Икс,2000,7.4,64,550049
4,Изгой,2000,7.8,73,489753
5,Американский психопат,2000,7.6,64,451650
6,Неуязвимый,2000,7.3,62,369165
7,Знакомство с родителями,2000,7.0,73,299094
8,О где же ты брат?,2000,7.7,69,271576
9,"Крадущийся тигр, затаившийся дракон",2000,7.8,94,244611
10,Патриот,2000,7.2,63,243724
11,Почти знаменит,2000,7.9,90,240628
12,Сука любовь,2000,8.1,83,212393
13,Траффик,2000,7.6,86,189328
14,Шоколад,2000,7.2,64,171673
15,Побег из курятника,2000,7.0,88,168983
16,Похождения императора,2000,7.3,70,168010
17,Эрин Брокович,2000,7.3,73,164278
18,Королевская битва,2000,7.6,81,162443
19,Фанатик,2000,7.5,79,161395
20,Билли Эллиот,2000,7.7,74,119733
21,Шанхайский полдень,2000,6.5,77,114708
22,Любовное настроение,2000,8.1,85,111632
23,Радиоволна,2000,7.3,67,96891
24,Гладиатор,2000,8.5,67,1261479
25,Помни,2000,8.4,80,1062831
26,Реквием по мечте,2000,8.3,68,724096
27,Люди Икс,2000,7.4,64,550049
28,Изгой,2000,7.8,73,489753
29,Американский психопат,2000,7.6,64,451650
30,Неуязвимый,2000,7.3,62,369165
31,Знакомство с родителями,2000,7.0,73,299094
32,О где же ты брат?,2000,7.7,69,271576
33,"Крадущийся тигр, затаившийся дракон",2000,7.8,94,244611
34,Патриот,2000,7.2,63,243724
35,Почти знаменит,2000,7.9,90,240628
36,Сука любовь,2000,8.1,83,212393
37,Траффик,2000,7.6,86,189328
38,Шоколад,2000,7.2,64,171673
39,Побег из курятника,2000,7.0,88,168983
40,Похождения императора,2000,7.3,70,168010
41,Эрин Брокович,2000,7.3,73,164278
42,Королевская битва,2000,7.6,81,162443
43,Фанатик,2000,7.5,79,161395
44,Билли Эллиот,2000,7.7,74,119733
45,Шанхайский полдень,2000,6.5,77,114708
46,Любовное настроение,2000,8.1,85,111632
47,Радиоволна,2000,7.3,67,96891
48,Гладиатор,2000,8.5,67,1261479
49,Помни,2000,8.4,80,1062831
50,Реквием по мечте,2000,8.3,68,724096
51,Люди Икс,2000,7.4,64,550049
52,Изгой,2000,7.8,73,489753
53,Американский психопат,2000,7.6,64,451650
54,Неуязвимый,2000,7.3,62,369165
55,Знакомство с родителями,2000,7.0,73,299094
56,О где же ты брат?,2000,7.7,69,271576
57,"Крадущийся тигр, затаившийся дракон",2000,7.8,94,244611
58,Патриот,2000,7.2,63,243724
59,Почти знаменит,2000,7.9,90,240628
60,Сука любовь,2000,8.1,83,212393
61,Траффик,2000,7.6,86,189328
62,Шоколад,2000,7.2,64,171673
63,Побег из курятника,2000,7.0,88,168983
64,Похождения императора,2000,7.3,70,168010
65,Эрин Брокович,2000,7.3,73,164278
66,Королевская битва,2000,7.6,81,162443
67,Фанатик,2000,7.5,79,161395
